place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347244,village,Sarkoni,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347244,Sarkoni,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347245,village,Patriya,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347245,Patriya,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347246,village,Panrepura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347246,Panrepura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347247,village,Karma,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347247,Karma,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347248,village,Misraulia,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347248,Misraulia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347249,village,Bhilma,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347249,Bhilma,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347250,village,Naubhilma,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347250,Naubhilma,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347251,village,Gujaria,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347251,Gujaria,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347252,village,Nawadih,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347252,Nawadih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347253,village,Sonpura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347253,Sonpura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347254,village,Mahatwana,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347254,Mahatwana,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347255,village,Chandrapura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347255,Chandrapura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347256,village,Amdiha,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347256,Amdiha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347257,village,Jamua,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347257,Jamua,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347258,village,Patakpura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347258,Patakpura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347259,village,Kakanpura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347259,Kakanpura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347260,village,Baliari,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347260,Baliari,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347261,village,Marhatia,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347261,Marhatia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347262,village,Patila,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347262,Patila,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347263,village,Semaura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347263,Semaura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347264,village,Nausemaura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347264,Nausemaura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
